"lang","file","speaker","wd_ID","wd","start","end","ref","tx","ft","mb_ID","mb","ps","gl","ph_ID","ph"
"anal1239","doreco_anal1239_anm_20160220_Ngahring_Folkflore_53","Ngahring","w008023","<p:>",190.581,191.374,"<p:>","<p:>","<p:>",NA,NA,NA,NA,"p023460","<p:>
"anal1239","doreco_anal1239_anm_20160220_Ngahring_Folkflore_53","Ngahring","w008024","a",191.374,191.577,"0077_doreco_anal1239_anm_20160220_Ngahring_Folkflore_53","atungte tute","now",NA,NA,NA,NA,"p023461","a
"anal1239","doreco_anal1239_anm_20160220_Ngahring_Folkflore_53","Ngahring","w008025","<<wip>>",191.577,191.713,"0077_doreco_anal1239_anm_20160220_Ngahring_Folkflore_53","atungte tute","now",NA,NA,NA,NA,"p023462","<<wip>>
"anal1239","doreco_anal1239_anm_20160220_Ngahring_Folkflore_53","Ngahring","w008026","tungte",191.713,191.99,"0077_doreco_anal1239_anm_20160220_Ngahring_Folkflore_53","atungte tute","now",NA,NA,NA,NA,"p023463 p023464 p023465 p023466 p023467","t u N t e
"anal1239","doreco_anal1239_anm_20160220_Ngahring_Folkflore_53","Ngahring","w008027","tute",191.99,192.41,"0077_doreco_anal1239_anm_20160220_Ngahring_Folkflore_53","atungte tute","now",NA,NA,NA,NA,"p023468 p023469 p023470 p023471","t u t e
"anal1239","doreco_anal1239_anm_20160227_Thumhring_Thangwar_2","Thumhring","w013596","<p:>",21.983,22.581,"0006_doreco_anal1239_anm_20160227_Thumhring_Thangwar_2","vanu̠ tuwng akhopām mo khu akheh ha ichọọcha vajerāmo","now with his mom, I think they went to one village",NA,NA,NA,NA,"p039258","<p:>
"anal1239","doreco_anal1239_anm_20160227_Thumhring_Thangwar_2","Thumhring","w013597","a",22.581,22.637,"0006_doreco_anal1239_anm_20160227_Thumhring_Thangwar_2","vanu̠ tuwng akhopām mo khu akheh ha ichọọcha vajerāmo","now with his mom, I think they went to one village",NA,NA,NA,NA,"p039259","a
"anal1239","doreco_anal1239_anm_20160227_Thumhring_Thangwar_2","Thumhring","w013598","<<wip>>",22.637,22.952,"0006_doreco_anal1239_anm_20160227_Thumhring_Thangwar_2","vanu̠ tuwng akhopām mo khu akheh ha ichọọcha vajerāmo","now with his mom, I think they went to one village",NA,NA,NA,NA,"p039260","<<wip>>
"anal1239","doreco_anal1239_anm_20160227_Thumhring_Thangwar_2","Thumhring","w013599","khopām",22.952,23.41,"0006_doreco_anal1239_anm_20160227_Thumhring_Thangwar_2","vanu̠ tuwng akhopām mo khu akheh ha ichọọcha vajerāmo","now with his mom, I think they went to one village",NA,NA,NA,NA,"p039261 p039262 p039263 p039264 p039265","k_h o p a: m
"anal1239","doreco_anal1239_anm_20160227_Thumhring_Thangwar_2","Thumhring","w013600","mo",23.41,23.557,"0006_doreco_anal1239_anm_20160227_Thumhring_Thangwar_2","vanu̠ tuwng akhopām mo khu akheh ha ichọọcha vajerāmo","now with his mom, I think they went to one village",NA,NA,NA,NA,"p039266 p039267","m o
"anal1239","doreco_anal1239_anm_20160227_Thumhring_Thangwar_2","Thumhring","w013756","<p:>",95.98,96.483,"<p:>","<p:>","<p:>",NA,NA,NA,NA,"p039832","<p:>
"anal1239","doreco_anal1239_anm_20160227_Thumhring_Thangwar_2","Thumhring","w013757","ma",96.483,96.643,"0029_doreco_anal1239_anm_20160227_Thumhring_Thangwar_2","amathar kite ih dāmo","after that ah something......",NA,NA,NA,NA,"p039833 p039834","m a
"anal1239","doreco_anal1239_anm_20160227_Thumhring_Thangwar_2","Thumhring","w013758","<<wip>>",96.643,96.965,"0029_doreco_anal1239_anm_20160227_Thumhring_Thangwar_2","amathar kite ih dāmo","after that ah something......",NA,NA,NA,NA,"p039835","<<wip>>
"anal1239","doreco_anal1239_anm_20160227_Thumhring_Thangwar_2","Thumhring","w013759","thar",96.965,97.16,"0029_doreco_anal1239_anm_20160227_Thumhring_Thangwar_2","amathar kite ih dāmo","after that ah something......",NA,NA,NA,NA,"p039836 p039837 p039838","t_h a r
"anal1239","doreco_anal1239_anm_20160227_Thumhring_Thangwar_2","Thumhring","w013760","kite",97.16,97.521,"0029_doreco_anal1239_anm_20160227_Thumhring_Thangwar_2","amathar kite ih dāmo","after that ah something......",NA,NA,NA,NA,"p039839 p039840 p039841 p039842","k i t e
"anal1239","doreco_anal1239_anm_20160318_Thst_Thumhring_Thangwar_2_folk_story","Thumhring","w016519","to",545.72,545.866,"0179_doreco_anal1239_anm_20160318_Thst_Thumhring_Thangwar_2_folk_story","pavān to vahangsunā valu̠chehin vakownghin keh amma chave","when they look upward see nothing",NA,NA,NA,NA,"p049402 p049403","t o
"anal1239","doreco_anal1239_anm_20160318_Thst_Thumhring_Thangwar_2_folk_story","Thumhring","w016520","vahang",545.866,546.092,"0179_doreco_anal1239_anm_20160318_Thst_Thumhring_Thangwar_2_folk_story","pavān to vahangsunā valu̠chehin vakownghin keh amma chave","when they look upward see nothing",NA,NA,NA,NA,"p049404 p049405 p049406 p049407 p049408","v a h a N
"anal1239","doreco_anal1239_anm_20160318_Thst_Thumhring_Thangwar_2_folk_story","Thumhring","w016521","<<wip>>",546.092,546.329,"0179_doreco_anal1239_anm_20160318_Thst_Thumhring_Thangwar_2_folk_story","pavān to vahangsunā valu̠chehin vakownghin keh amma chave","when they look upward see nothing",NA,NA,NA,NA,"p049409","<<wip>>
"anal1239","doreco_anal1239_anm_20160318_Thst_Thumhring_Thangwar_2_folk_story","Thumhring","w016522","sunā",546.329,546.67,"0179_doreco_anal1239_anm_20160318_Thst_Thumhring_Thangwar_2_folk_story","pavān to vahangsunā valu̠chehin vakownghin keh amma chave","when they look upward see nothing",NA,NA,NA,NA,"p049410 p049411 p049412 p049413","s u n a:
"anal1239","doreco_anal1239_anm_20160318_Thst_Thumhring_Thangwar_2_folk_story","Thumhring","w016523","valu̠chehin",546.67,547.521,"0179_doreco_anal1239_anm_20160318_Thst_Thumhring_Thangwar_2_folk_story","pavān to vahangsunā valu̠chehin vakownghin keh amma chave","when they look upward see nothing",NA,NA,NA,NA,"p049414 p049415 p049416 p049417 p049418 p049419 p049420 p049421 p049422","v a l } ts\ e h i n
"apah1238","doreco_apah1238_interview_IP_Ware_part2","Ware","w008093","at",1126.901,1126.986,"0793_doreco_apah1238_interview_IP_Ware_part2","at umalikisi mandiri mel","his son is an orderly","m010519","at","pro","3s","p026710 p026711","a t"
"apah1238","doreco_apah1238_interview_IP_Ware_part2","Ware","w008094","u",1126.986,1127.147,"0793_doreco_apah1238_interview_IP_Ware_part2","at umalikisi mandiri mel","his son is an orderly","m010520","u-","pfx-","3s.POSS-","p026712","u"
"apah1238","doreco_apah1238_interview_IP_Ware_part2","Ware","w008095","<<wip>>",1127.147,1127.254,"0793_doreco_apah1238_interview_IP_Ware_part2","at umalikisi mandiri mel","his son is an orderly","m010521","****","****","****","p026713","<<wip>>"
"apah1238","doreco_apah1238_interview_IP_Ware_part2","Ware","w008096","malikisi",1127.254,1127.651,"0793_doreco_apah1238_interview_IP_Ware_part2","at umalikisi mandiri mel","his son is an orderly","m010522 m010523","malik -si","n -sfx","child -PL","p026714 p026715 p026716 p026717 p026718 p026719 p026720 p026721","m a l i k i s i"
"apah1238","doreco_apah1238_interview_IP_Ware_part2","Ware","w008097","mandiri",1127.651,1128.037,"0793_doreco_apah1238_interview_IP_Ware_part2","at umalikisi mandiri mel","his son is an orderly","m010524","mandiri","n.loan","nurse","p026722 p026723 p026724 p026725 p026726 p026727 p026728","m a n d i r i"
"arap1274","doreco_arap1274_20_Crawford","55","w003189","<p:>",218.312,220.627,"<p:>","<p:>","<p:>","m005619","<p:>","<p:>","<p:>","p000789","<p:>"
"arap1274","doreco_arap1274_20_Crawford","55","w003190","Heetnii",220.627,221.313,"0028_doreco_arap1274_20_Crawford","Heetniibii'eenowo'.","I will think of/discover him [to speak the language/run the ceremonies].","m005620 m005621","heetn- ii-","prefix- prefix-","FUT- IMPERF-","p000790 p000791 p000792 p000793 p000794","h E: t n I:"
"arap1274","doreco_arap1274_20_Crawford","55","w003191","<<wip>>",221.313,223.885,"0028_doreco_arap1274_20_Crawford","Heetniibii'eenowo'.","I will think of/discover him [to speak the language/run the ceremonies].","m005622","****","****","****","p000795","<<wip>>"
"arap1274","doreco_arap1274_20_Crawford","55","w003192","biiʔeenowoʔ",223.885,224.545,"0028_doreco_arap1274_20_Crawford","Heetniibii'eenowo'.","I will think of/discover him [to speak the language/run the ceremonies].","m005623 m005624","bii'eenow -o'","vta -infl","bring to mind -1S/3S","p000796 p000797 p000798 p000799 p000800 p000801 p000802 p000803 p000804","b I: ? E: n O w O ?"
"arap1274","doreco_arap1274_20_Crawford","55","w003193","<p:>",224.545,224.699,"<p:>","<p:>","<p:>","m005625","<p:>","<p:>","<p:>","p000805","<p:>"
