"lang","wd","pause_duration","first_part_wd_norm_duration","second_part_wd_norm_duration","complete_wd_dur","disfluency_adjacent","pause_type","ps","first_part_wd_norm","first_part_mb_norm","first_part_gl_norm","second_part_wd_norm","second_part_mb_norm","second_part_gl_norm","language"
"anal1239","<<wip>>",136,203,277,480,"no","ultra-disruptive","other","a","atung","now","tungte","atung -te","now -CONTR","Anal"
"anal1239","<<wip>>",315,56,458,514,"no","ultra-disruptive","noun","a","akho-","where-","khopām","akho- pām","where- land","Anal"
"anal1239","<<wip>>",322,160,195,355,"no","disruptive","pro","ma","ama","3SG","thar","-thar","-behind/after","Anal"
"anal1239","<<wip>>",237,226,341,567,"no","disruptive","verb","vahang","va- hang-","3- up.temp-","sunā","su -nā","look -while","Anal"
"apah1238","<<wip>>",107,161,397,558,"no","disruptive","noun","u","u-","3s.POSS-","malikisi","malik -si","child -PL","Yali"
"arap1274","<<wip>>",2572,686,660,1346,"no","disruptive","verb","Heetnii","heetn- ii-","FUT- IMPERF-","biiʔeenowoʔ","bii'eenow -o'","bring to mind -1S/3S","Arapaho"
"arap1274","<<wip>>",304,658,1058,1716,"no","disruptive","verb","heetneʔ","heet- ne'-","FUT- then-","ceeceʔeinouʔu","cee~ ce'ein -ou'u","REDUP~ bag up/put in bag -3PL","Arapaho"
"arap1274","<<wip>>",312,259,861,1120,"no","disruptive","verb","heet","heet-","FUT-","noononohinee","noononohi -nee","decline -2PL","Arapaho"
"arap1274","<<wip>>",574,160,409,569,"no","disruptive","verb","beh","beh-","all-","cesis","cesis","begin","Arapaho"
"arap1274","<<wip>>",184,194,736,930,"no","ultra-disruptive","noun","hi","hinono'eino'","Arapahos","nonoʔeinoʔ","hinono'eino'","Arapahos","Arapaho"
"arap1274","<<wip>>",1832,505,1170,1675,"no","disruptive","verb","nihʔii","nih'ii-","PAST.IMPERF-","coʔouu3iʔi","co'ouu3i -'i","high -3PL","Arapaho"
"arap1274","<<wip>>",422,432,1404,1836,"no","disruptive","verb","nihʔiit","nih'iit-","PAST.where-","nohuuxoneeni3i","nohuuxonee -ni3i","have a nest/be nesting -4PL","Arapaho"
"arap1274","<<wip>>",512,276,911,1187,"no","disruptive","verb","heet","heet-","FUT-","niistoot","niistoo -t","do -3.S","Arapaho"
"arap1274","<<wip>>",297,134,1388,1522,"no","disruptive","verb","heʔih","he'ih-","NARRPAST-","ʔoonoo3ii3ieʔneʔ","'oon~ oo3ii3ie'n -e'","REDUP~ graze with talons -4/3S","Arapaho"
"arap1274","<<wip>>",1370,295,1073,1368,"no","disruptive","verb","neʔ","ne'-","then-","neiʔooceinoot","nei'oocein -oot","hold on tightly to rope -3S/4","Arapaho"
"arap1274","<<wip>>",1393,408,1067,1475,"no","disruptive","verb","neʔnihʔiiʔ","ne'= nih'ii'-","that= PAST.when-","3eiʔeikuu3oot","3eiikuu3 -oot","stuff quickly inside s.t. -3S/4","Arapaho"
